UTC_DATE,UTC_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT
2015.09.01,04:01:53,4081967,1404108,4680194,47.5052898,18.9821044,405.45
2015.09.01,14:00:59,4081979,1404094,4680167,47.5050807,18.9818769,390.13
2015.09.01,19:01:24,4082035,1404120,4680132,47.5044608,18.9819615,405.81
2015.09.01,22:01:53,4082086,1404043,4680106,47.5041491,18.9807749,402.29
2015.09.02,14:01:30,4081842,1403505,4680389,47.5085589,18.9750752,336.91
2015.09.02,19:00:31,4081730,1403813,4680435,47.5088765,18.9794248,366.95
2015.09.02,22:01:23,4081906,1404070,4680205,47.5058211,18.9818908,366.24
2015.09.03,04:01:02,4081976,1404091,4680164,47.5050877,18.9818522,385.34
2015.09.05,14:03:02,4081832,1403949,4680328,47.5072934,18.9806916,383.08
2015.09.05,19:01:30,4082045,1404139,4680087,47.5040837,18.9821568,383.19
2015.09.05,22:00:46,4082155,1404127,4680044,47.5031585,18.9815313,419.12
2015.09.06,04:01:02,4081919,1404061,4680232,47.505923,18.9817217,392.48
2015.09.06,14:01:18,4081874,1403799,4680355,47.5075176,18.9786275,396.86
2015.09.06,19:01:30,4081920,1404075,4680236,47.5059108,18.9818931,399.14
2015.09.06,22:01:00,4081919,1404085,4680228,47.5058469,18.982023,394.8
2015.09.07,04:02:05,4081832,1403849,4680346,47.5076185,18.9794364,374.38
2015.09.07,14:01:00,4081832,1403843,4680349,47.5076496,18.9793611,375.28
2015.09.07,19:01:48,4081918,1404067,4680227,47.505886,18.9818014,389.47
2015.09.07,22:00:54,4082048,1404172,4680101,47.5040788,18.982558,402.68
2015.09.08,04:01:37,4081920,1403992,4680267,47.5062782,18.9808514,403.76
2015.09.08,14:01:17,4081802,1403904,4680294,47.5073721,18.9802562,328.96
2015.09.08,19:01:50,4081864,1403934,4680279,47.5068274,18.9803651,364.09
2015.09.08,22:01:24,4081764,1403804,4680400,47.50847,18.9791651,360.88
2015.09.09,14:00:59,4082459,1404232,4679789,47.4994765,18.9815367,448.39
2015.09.09,19:01:49,4082439,1404480,4679759,47.4988847,18.9847353,467.99
2015.09.09,22:01:53,4082431,1403901,4679947,47.5013259,18.9775035,474.26
2015.09.10,04:02:59,4082446,1403491,4680037,47.5026627,18.9722929,460.14
2015.09.10,14:00:59,4081780,1403512,4680479,47.5094794,18.9754307,365.21
2015.09.10,19:02:16,4081791,1403448,4680491,47.5096213,18.9745798,367.03
2015.09.10,22:01:47,4081768,1403804,4680404,47.5084692,18.9791478,366.38
2015.09.11,04:01:51,4082023,1404142,4680083,47.5041909,18.9822894,366.84
2015.09.11,14:01:01,4082033,1404118,4680148,47.5045748,18.981945,415.89
2015.09.11,19:01:53,4082118,1404248,4680038,47.5030931,18.9832096,417.64
2015.09.11,22:00:59,4082049,1404151,4680110,47.5041725,18.9822901,405.34
2015.09.12,04:02:49,4081926,1404048,4680243,47.505974,18.9815284,402.2
2015.09.12,14:01:17,4081897,1404069,4680215,47.5059404,18.9819171,367.65
2015.09.12,19:01:54,4082025,1404121,4680106,47.5043634,18.9820172,380.47
