UTC_DATE,UTC_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT
2015.03.05,04:00:56,4081294,1403344,4680892,47.5153987,18.9754195,322.45
2015.03.05,14:01:28,4081297,1403335,4680881,47.5153324,18.9752935,314.28
2015.03.05,19:01:02,4081290,1403345,4680896,47.5154459,18.9754493,323.07
2015.03.05,22:01:45,4081578,1403247,4680675,47.5125084,18.9729759,322.52
2015.03.06,04:00:55,4081493,1403408,4680781,47.5133382,18.9753639,381.75
2015.03.06,14:01:24,4081492,1403311,4680745,47.513335,18.9741505,333.26
2015.03.06,19:00:59,4081489,1403367,4680729,47.5131359,18.9748665,331.85
2015.03.06,22:01:52,4081516,1403549,4680661,47.5121609,18.9770347,338.92
2015.03.07,04:00:31,4081488,1403335,4680753,47.5133569,18.9744691,341.88
2015.03.07,14:00:54,4081329,1403347,4680868,47.5150269,18.9753061,327.76
2015.03.07,19:01:02,4081314,1403355,4680875,47.5151462,18.9754712,325.1
2015.03.07,22:01:31,4081118,1403697,4680876,47.515644,18.980611,275.78
2015.03.08,04:00:49,4081290,1403342,4680890,47.5154159,18.9754116,317.98
2015.03.08,14:00:52,4081296,1403342,4680874,47.5152811,18.9753857,310.01
2015.03.08,19:01:00,4081293,1403349,4680895,47.5154124,18.9754866,325.12
2015.03.08,22:02:03,4081391,1403505,4680838,47.514115,18.977022,379.94
2015.03.09,04:00:59,4081296,1403354,4680895,47.5153828,18.9755364,328.14
2015.03.09,14:01:02,4081291,1403347,4680902,47.5154718,18.9754701,328.57
2015.03.09,19:01:29,4081528,1403090,4680773,47.5137558,18.9712207,328.38
2015.03.09,22:02:41,4081540,1403298,4680708,47.5128372,18.9737801,333.78
2015.03.10,04:00:53,4081359,1403470,4680871,47.5145917,18.9767207,376.15
2015.03.10,14:01:43,4081358,1403460,4680876,47.5146499,18.9765995,377
2015.03.10,19:02:16,4080954,1403831,4681080,47.5176226,18.9830014,350.92
2015.03.10,22:01:59,4081001,1403667,4681082,47.5176938,18.9807396,346.38
2015.03.11,04:01:01,4081367,1403466,4680871,47.5145501,18.976636,380.38
2015.03.11,14:01:37,4081272,1403413,4680882,47.5153271,18.9763807,316.18
2015.03.11,19:00:59,4081537,1403527,4680625,47.511858,18.9766679,320.95
2015.03.11,22:01:45,4081617,1403177,4680659,47.5123175,18.9719288,320.26
2015.03.12,04:00:49,4081479,1403322,4680743,47.5133807,18.9743447,325.9
2015.03.12,14:01:57,4081485,1403313,4680741,47.5133503,18.9742058,326.28
2015.03.12,19:01:47,4081535,1403238,4680682,47.51284,18.9730485,298.24
2015.03.12,22:01:44,4081711,1403213,4680589,47.5112251,18.9719751,336.59
2015.03.13,04:00:32,4082129,1403670,4680194,47.5052185,18.9759076,412.7
2015.03.13,14:00:54,4082021,1403556,4680286,47.5067006,18.9749428,386.51
2015.03.13,19:01:30,4082040,1403568,4680274,47.5064826,18.9750114,392.43
2015.03.13,22:01:59,4082115,1403616,4680188,47.5053863,18.9752902,387.48
2015.03.14,04:00:59,4081937,1403570,4680368,47.5076953,18.9754811,396.39
2015.03.14,14:00:59,4081930,1403536,4680381,47.5078915,18.9750845,394.04
2015.03.14,19:02:10,4081909,1403443,4680340,47.5079747,18.9740077,329.96
2015.03.14,22:01:57,4081714,1403821,4680397,47.5087287,18.9795943,330.46
2015.03.15,04:00:56,4081935,1404015,4680240,47.5059705,18.9810753,398.49
