UTC_DATE,UTC_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT
2015.12.01,04:01:53,4081908,1403142,4680530,47.5097842,18.9702336,403.33
2015.12.01,19:01:54,4081922,1403151,4680515,47.5095859,18.9702862,403.19
2015.12.02,04:02:50,4081897,1403159,4680532,47.5098287,18.9704945,401.51
2015.12.02,14:02:49,4081889,1403042,4680483,47.5098334,18.9690603,334.58
2015.12.02,19:02:27,4081897,1403065,4680470,47.5096547,18.9693145,335.15
2015.12.02,22:02:55,4081901,1403007,4680483,47.5098336,18.9685691,334.56
2015.12.03,04:03:08,4081907,1403035,4680469,47.5096506,18.9688947,334.21
2015.12.03,14:02:52,4081901,1403061,4680479,47.5096929,18.969247,343.46
2015.12.03,19:01:59,4081896,1403066,4680481,47.5097256,18.9693314,342.84
2015.12.04,14:02:52,4081898,1403062,4680479,47.5097096,18.9692725,341.77
2015.12.04,19:02:21,4081897,1403054,4680481,47.5097452,18.9691764,340.85
2015.12.04,22:03:03,4081902,1403074,4680498,47.509774,18.9694059,360.97
2015.12.05,04:03:12,4081905,1403059,4680493,47.5097572,18.9692047,355.9
2015.12.05,14:01:30,4081900,1403074,4680496,47.5097744,18.9694145,358.21
2015.12.05,19:02:59,4081899,1403072,4680489,47.5097425,18.9693937,351.97
2015.12.06,04:02:26,4081888,1403062,4680495,47.5098695,18.9693157,347.18
2015.12.06,14:01:58,4081901,1402984,4680420,47.5095005,18.9682804,283.05
2015.12.06,19:03:08,4081877,1402993,4680453,47.5098321,18.9684969,294.03
2015.12.06,22:02:59,4081896,1403080,4680488,47.509738,18.9695071,351.08
2015.12.07,04:01:50,4081902,1403068,4680492,47.5097505,18.9693306,355.22
2015.12.07,14:02:47,4081891,1403078,4680501,47.5098526,18.9695036,357.03
2015.12.07,19:02:58,4081886,1403020,4680466,47.5097964,18.9687971,315.29
2015.12.07,22:02:19,4081893,1403060,4680489,47.509806,18.969269,345.51
2015.12.08,04:01:58,4081893,1403070,4680482,47.5097419,18.9693945,342.54
2015.12.08,14:01:43,4081897,1403061,4680477,47.5097058,18.9692643,339.43
2015.12.08,19:01:44,4081896,1403056,4680479,47.509735,18.9692058,339.17
2015.12.08,22:03:04,4081889,1403031,4680496,47.5099361,18.9689222,341.75
2015.12.09,04:01:51,4081887,1403068,4680487,47.5098142,18.9693953,341.96
2015.12.09,14:03:05,4081894,1403057,4680483,47.5097697,18.969227,341.06
2015.12.09,19:02:40,4081891,1403032,4680475,47.5097938,18.9689261,327.76
2015.12.10,04:01:36,4081876,1403020,4680491,47.510011,18.9688402,327.34
2015.12.10,14:01:09,4081900,1403028,4680466,47.5096913,18.9688371,325.99
2015.12.10,19:03:00,4081883,1403035,4680477,47.5098497,18.9689983,324.78
2015.12.10,22:02:51,4081884,1403058,4680489,47.5098667,18.9692827,339.32
2015.12.11,04:02:47,4081882,1403081,4680480,47.509775,18.9695801,336.45
2015.12.11,14:02:22,4081891,1403077,4680472,47.5096786,18.969491,335.43
2015.12.11,19:01:56,4081901,1403069,4680490,47.5097425,18.9693474,353.33
