Date Time Lat Long 
20.07.2017 22:02:39 47.5909237 19.3678911
08.01.2018 22:03:19 47.5083337 18.9657832 
09.01.2018 04:01:22 47.5085906 18.9663364
09.01.2018 14:02:29 47.5085005 18.9684974
09.01.2018 19:01:00 47.5085607 18.9685531
09.01.2018 22:01:54 47.5066208 18.9668786
10.01.2018 04:03:00 47.5051167 18.9714053
10.01.2018 14:01:31 47.5046041 18.9757102 
10.01.2018 19:01:24 47.5047740 18.9755996
10.01.2018 22:01:52 47.5046173 18.9755980
11.01.2018 04:00:59 47.5047321 18.9757051
11.01.2018 14:02:51 47.5047256 18.9753399
11.01.2018 19:01:18 47.5046821 18.9758138
11.01.2018 22:01:29 47.5048910 18.9758193 
12.01.2018 04:01:00 47.5047832 18.9757150
12.01.2018 14:01:00 47.5045777 18.9756816
12.01.2018 19:01:52 47.5046882 18.9756286
12.01.2018 22:02:06 47.5050037 18.9761566
13.01.2018 04:01:50 47.5046874 18.9758565
13.01.2018 14:00:59 47.5046290 18.9757420 
13.01.2018 19:01:46 47.5047336 18.9759111
13.01.2018 22:02:18 47.5048699 18.9752403
14.01.2018 04:01:57 47.5045678 18.9763539
14.01.2018 14:01:52 47.5048757 18.9759166
14.01.2018 19:01:30 47.5047807 18.9758440
14.01.2018 22:01:18 47.5047043 18.9757800 
15.01.2018 04:00:54 47.5047666 18.9756757
15.01.2018 14:01:39 47.5047329 18.9758475
15.01.2018 19:01:29 47.5047511 18.9758012
15.01.2018 22:01:02 47.5046541 18.9756992
16.01.2018 04:00:55 47.5047170 18.9758067
16.01.2018 14:01:42 47.5045606 18.9757675 
16.01.2018 19:01:52 47.5047871 18.9759127
16.01.2018 22:01:43 47.5048164 18.9754239
18.01.2018 22:01:20 47.5077325 18.9759663  
20.01.2018 04:01:18 47.5077386 18.9756560 
20.01.2018 14:00:55 47.5081253 18.9752556 
20.01.2018 19:01:26 47.5082319 18.9752226 
22.01.2018 04:03:10 47.5074594 18.9755677 
22.01.2018 19:01:01 47.5088681 18.9749971 
23.01.2018 22:02:20 47.5070238 18.9802094
24.01.2018 04:01:17 47.5131023 18.9749226
24.01.2018 14:01:00 47.5137454 18.9760901
24.01.2018 19:01:42 47.5144263 18.9763201
24.01.2018 22:01:42 47.5118858 18.9758197
25.01.2018 04:01:00 47.5115761 18.9768063
25.01.2018 14:00:59 47.5146628 18.9768019 
25.01.2018 19:01:00 47.5145817 18.9768470
25.01.2018 22:00:54 47.5137946 18.9806082
26.01.2018 04:01:00 47.5137564 18.9805831
26.01.2018 14:01:00 47.5138483 18.9804752
26.01.2018 19:00:59 47.5137521 18.9805156
26.01.2018 22:03:05 47.5157978 18.9837987
27.01.2018 04:01:51 47.5126142 18.9770654
27.01.2018 14:00:59 47.5122862 18.9766075
27.01.2018 19:01:44 47.5122536 18.9767314
27.01.2018 22:01:35 47.5123505 18.9762222
28.01.2018 04:00:56 47.5115955 18.9767997
28.01.2018 14:00:53 47.5147622 18.9767894 
28.01.2018 19:00:50 47.5146493 18.9768781
28.01.2018 22:01:50 47.5124179 18.9771336
29.01.2018 04:00:56 47.5116148 18.9767749
29.01.2018 14:01:46 47.5125674 18.9769653
29.01.2018 22:00:31 47.5123523 18.9782061 
30.01.2018 04:03:07 47.5124782 18.9771250
30.01.2018 22:01:01 47.5126910 18.9777774
31.01.2018 04:01:00 47.5123543 18.9773972
31.01.2018 14:03:01 47.5125088 18.9770041
31.01.2018 19:01:00 47.5123171 18.9773799
31.01.2018 22:02:39 47.5139266 18.9713074
01.02.2018 04:00:55 47.5131882 18.9735271
01.02.2018 14:01:47 47.5133541 18.9737461
01.02.2018 19:00:50 47.5132853 18.9737029
01.02.2018 22:01:29 47.5144561 18.9732683 
02.02.2018 04:00:49 47.5137560 18.9805144
02.02.2018 14:00:59 47.5137607 18.9805117
02.02.2018 19:01:17 47.5143885 18.9825124
02.02.2018 22:01:44 47.5147713 18.9818729
03.02.2018 14:03:04 47.5128971 18.9771011 
03.02.2018 19:01:52 47.5127914 18.9732337
04.02.2018 04:00:56 47.5137007 18.9805152
04.02.2018 14:01:24 47.5138323 18.9802312
04.02.2018 19:00:43 47.5142641 18.9783916
04.02.2018 22:02:16 47.5137636 18.9805164 
05.02.2018 04:01:39 47.5137758 18.9805164
05.02.2018 14:00:51 47.5138893 18.9802692
05.02.2018 19:01:55 47.5139030 18.9803363
05.02.2018 22:01:18 47.5133514 18.9701657
06.02.2018 04:00:56 47.5123098 18.9774003
06.02.2018 14:01:20 47.5123822 18.9765490
06.02.2018 19:01:00 47.5123585 18.9766220
06.02.2018 22:00:55 47.5149204 18.9712910
07.02.2018 04:00:59 47.5131822 18.9732768
07.02.2018 14:01:59 47.5130299 18.9731619
07.02.2018 19:01:24 47.5123136 18.9712030
07.02.2018 22:02:14 47.5129084 18.9728378
08.02.2018 04:00:56 47.5123800 18.9774274
08.02.2018 14:01:00 47.5134484 18.9750846
08.02.2018 19:01:29 47.5139507 18.9801708
08.02.2018 22:01:18 47.5160017 18.9833853
09.02.2018 04:00:59 47.5153132 18.9815509
09.02.2018 14:01:30 47.5155898 18.9784574 
09.02.2018 19:01:23 47.5149921 18.9817215
09.02.2018 22:01:37 47.5155966 18.9816698
10.02.2018 04:00:50 47.5123277 18.9772203
10.02.2018 14:03:01 47.5125695 18.9770967
10.02.2018 22:00:55 47.5123826 18.9769468 
11.02.2018 04:00:49 47.5132882 18.9735087
11.02.2018 14:01:18 47.5144363 18.9765728
11.02.2018 19:01:00 47.5141583 18.9771318
11.02.2018 22:01:23 47.5125937 18.9768284
12.02.2018 14:01:29 47.5135927 18.9737574
14.02.2018 19:01:01 47.5123199 18.9715640
14.02.2018 22:01:52 47.5162047 18.9833676
15.02.2018 04:02:00 47.5141180 18.9775772
15.02.2018 14:00:33 47.5143029 18.9775689
15.02.2018 19:01:18 47.5142394 18.9775222
15.02.2018 22:01:49 47.5128247 18.9777123 
16.02.2018 04:00:50 47.5125748 18.9769543
16.02.2018 14:00:54 47.5124915 18.9770120
16.02.2018 19:00:59 47.5125184 18.9769618
16.02.2018 22:01:18 47.5125496 18.9770253
17.02.2018 04:01:48 47.5124518 18.9769986
17.02.2018 14:00:55 47.5125147 18.9770787 
17.02.2018 19:01:54 47.5129463 18.9727241
17.02.2018 22:01:22 47.5149912 18.9713172
18.02.2018 04:00:55 47.5124910 18.9769527
18.02.2018 14:01:23 47.5125540 18.9770371
18.02.2018 19:00:59 47.5124023 18.9751152
18.02.2018 22:01:00 47.5131573 18.9711430 
19.02.2018 04:00:50 47.5158612 18.9754729
19.02.2018 14:00:55 47.5158305 18.9754643
19.02.2018 19:01:50 47.5153721 18.9815027
19.02.2018 22:02:00 47.5161498 18.9798809 
20.02.2018 19:02:37 47.5141814 18.9714600 
20.02.2018 22:01:17 47.5126740 18.9768260 
21.02.2018 04:01:24 47.5126846 18.9767590 
21.02.2018 19:01:53 47.5132406 18.9699092
22.02.2018 04:00:56 47.5142368 18.9719779
22.02.2018 14:01:02 47.5148760 18.9786342
22.02.2018 19:02:22 47.5163481 18.9835004
22.02.2018 22:00:59 47.5143538 18.9784865
23.02.2018 04:00:50 47.5115268 18.9769554
23.02.2018 14:00:56 47.5122848 18.9762807 
23.02.2018 19:01:03 47.5123687 18.9718323
24.02.2018 14:01:47 47.5142583 18.9719775
24.02.2018 19:01:17 47.5151175 18.9741907
24.02.2018 22:01:24 47.5158479 18.9833559 
25.02.2018 04:00:49 47.5115442 18.9770307
25.02.2018 14:01:49 47.5121484 18.9765306
25.02.2018 19:01:30 47.5156001 18.9830445
25.02.2018 22:00:32 47.5170843 18.9829976
26.02.2018 04:00:47 47.5172422 18.9830577
26.02.2018 14:00:59 47.5156999 18.9767009
26.02.2018 19:00:59 47.5114344 18.9717852
26.02.2018 22:00:54 47.5085423 18.9792447
27.02.2018 04:02:12 47.5100060 18.9746967
27.02.2018 14:02:56 47.5097021 18.9739843
27.02.2018 22:01:47 47.5099746 18.9761152
28.02.2018 04:01:38 47.5095302 18.9783388
28.02.2018 14:02:58 47.5094318 18.9754284
28.02.2018 19:02:23 47.5093401 18.9752302
28.02.2018 22:01:30 47.5101239 18.9761278
01.03.2018 04:00:54 47.5099102 18.9751899
01.03.2018 14:01:47 47.5098986 18.9760086
01.03.2018 19:01:24 47.5092745 18.9793312
01.03.2018 22:00:56 47.5085435 18.9790854
02.03.2018 04:00:56 47.5097969 18.9758579
02.03.2018 14:01:39 47.5098360 18.9758171
02.03.2018 22:01:00 47.5084694 18.9791384
03.03.2018 04:01:30 47.5142679 18.9749545
03.03.2018 14:00:59 47.5145589 18.9783356
03.03.2018 19:01:17 47.5138204 18.9762671
04.03.2018 04:00:51 47.5124729 18.9718539
04.03.2018 14:01:02 47.5141980 18.9720187 
04.03.2018 19:00:55 47.5142816 18.9720485
04.03.2018 22:01:18 47.5027876 18.9826666
05.03.2018 04:01:00 47.5122586 18.9754918
05.03.2018 14:01:00 47.5123040 18.9764600
05.03.2018 19:00:56 47.5142701 18.9719226
06.03.2018 14:01:38 47.5142715 18.9720779
06.03.2018 19:00:56 47.5155546 18.9840584
06.03.2018 22:01:17 47.5124498 18.9718009
07.03.2018 19:00:54 47.5095135 18.9731142
07.03.2018 22:01:23 47.5073230 18.9805166
08.03.2018 04:00:56 47.5092881 18.9789636
08.03.2018 14:02:34 47.5095979 18.9759489
08.03.2018 19:00:59 47.5084859 18.9791133
08.03.2018 22:01:00 47.5077482 18.9799655 
09.03.2018 04:00:59 47.5092481 18.9789922
09.03.2018 14:00:59 47.5093157 18.9758610
09.03.2018 19:00:59 47.5094548 18.9775796
09.03.2018 22:01:29 47.5073162 18.9805594
10.03.2018 04:01:30 47.5041199 18.9828518
10.03.2018 14:00:56 47.5046475 18.9819494 
10.03.2018 19:00:53 47.5036576 18.9820057
10.03.2018 22:01:23 47.5074000 18.9805798
11.03.2018 04:01:29 47.5107283 18.9711959
11.03.2018 14:01:00 47.5142382 18.9764170
11.03.2018 19:00:54 47.5142267 18.9765645
11.03.2018 22:01:46 47.5156506 18.9791662
12.03.2018 04:00:32 47.4996658 18.9821787
12.03.2018 14:01:17 47.5017308 18.9764363
12.03.2018 19:01:14 47.5016677 18.9776768
12.03.2018 22:01:00 47.5014919 18.9776392
13.03.2018 04:00:55 47.5017949 18.9763759
13.03.2018 14:01:30 47.5018157 18.9763857 
13.03.2018 19:00:59 47.5017712 18.9764677
13.03.2018 22:01:59 47.5026997 18.9778245
14.03.2018 04:01:00 47.5018265 18.9764018
14.03.2018 14:01:01 47.5018637 18.9762939
14.03.2018 22:01:35 47.5027262 18.9772052
15.03.2018 04:01:02 47.5066004 18.9754986
15.03.2018 14:00:55 47.5146882 18.9677655
15.03.2018 19:01:59 47.5147155 18.9677239
15.03.2018 22:03:10 47.5163326 18.9848446
16.03.2018 04:01:01 47.5140997 18.9776936
16.03.2018 14:01:18 47.5140999 18.9772950 
16.03.2018 19:01:45 47.5124059 18.9719798
16.03.2018 22:00:59 47.4988372 18.9852704
17.03.2018 04:01:00 47.4998582 18.9819917
17.03.2018 14:01:52 47.4999080 18.9820176
17.03.2018 19:01:00 47.5000466 18.9811673
17.03.2018 22:00:49 47.4990831 18.9854277
18.03.2018 04:00:49 47.5017810 18.9763370
18.03.2018 14:01:00 47.5017600 18.9763829
18.03.2018 19:01:53 47.5023082 18.9766207
18.03.2018 22:01:07 47.5029617 18.9769848
19.03.2018 04:00:59 47.5017989 18.9764210
19.03.2018 14:01:49 47.5017949 18.9762971 
19.03.2018 19:00:54 47.4996116 18.9828259
19.03.2018 22:00:56 47.5009094 18.9784722
20.03.2018 04:01:24 47.5028372 18.9756935
20.03.2018 22:01:30 47.5045324 18.9760052 
21.03.2018 04:01:00 47.5028199 18.9758677
21.03.2018 19:02:16 47.5072557 18.9752123
21.03.2018 22:01:17 47.5006464 18.9753830
22.03.2018 04:01:53 47.5015456 18.9737429
22.03.2018 19:01:33 47.5077817 18.9760357
22.03.2018 22:00:59 47.5006738 18.9752995
23.03.2018 04:02:24 47.5078421 18.9753500
23.03.2018 14:01:23 47.5086445 18.9745703
23.03.2018 19:02:24 47.5084371 18.9757942
23.03.2018 22:00:59 47.5007538 18.9753999 
24.03.2018 04:02:57 47.5075971 18.9761213
24.03.2018 14:00:50 47.5078333 18.9756274
24.03.2018 19:00:50 47.5078580 18.9756035
24.03.2018 22:01:22 47.4998760 18.9750025
25.03.2018 04:01:48 47.5070268 18.9756221
25.03.2018 14:01:50 47.5077917 18.9755152 
25.03.2018 19:01:53 47.5079289 18.9757643
25.03.2018 22:02:52 47.5023302 18.9757908
26.03.2018 04:01:29 47.5026244 18.9778002
26.03.2018 14:01:47 47.5087288 18.9749971
26.03.2018 19:01:54 47.5086725 18.9749300
26.03.2018 22:02:29 47.5039591 18.9758839 
27.03.2018 04:01:43 47.5079072 18.9751484
27.03.2018 14:00:59 47.5087991 18.9752925
27.03.2018 19:01:40 47.5090660 18.9753764
28.03.2018 04:02:40 47.5141446 18.9772087
28.03.2018 14:00:56 47.5144170 18.9765751 
28.03.2018 19:01:54 47.5149866 18.9753817
28.03.2018 22:02:40 47.5167709 18.9809253
29.03.2018 04:00:32 47.5127208 18.9749535
29.03.2018 14:00:56 47.5131057 18.9748571
29.03.2018 19:01:17 47.5125940 18.9701410
29.03.2018 22:02:05 47.4999501 18.9745982
30.03.2018 04:01:17 47.5017001 18.9762888
30.03.2018 14:00:51 47.5017346 18.9763845
30.03.2018 19:01:58 47.4998872 18.9819890
30.03.2018 22:00:59 47.4993799 18.9845955
31.03.2018 19:01:29 47.5064904 18.9755045
01.04.2018 04:01:02 47.5027531 18.9831126
01.04.2018 14:00:59 47.5053212 18.9817557
01.04.2018 19:01:39 47.5081650 18.9777975
01.04.2018 22:00:59 47.5093703 18.9770508 
02.04.2018 04:01:58 47.5066892 18.9752978
02.04.2018 22:01:51 47.5005718 18.9753608
03.04.2018 04:00:59 47.4998974 18.9821635
03.04.2018 14:00:56 47.4998729 18.9821729 
03.04.2018 19:00:59 47.4999595 18.9821149
03.04.2018 22:01:53 47.4999865 18.9831060
04.04.2018 04:00:56 47.4998588 18.9814580
04.04.2018 14:01:20 47.4999881 18.9821636
04.04.2018 19:01:29 47.4998872 18.9820678
04.04.2018 22:01:18 47.4988329 18.9852217 
05.04.2018 04:01:29 47.5131272 18.9750281
05.04.2018 14:00:53 47.5148518 18.9763932
05.04.2018 19:00:59 47.5141624 18.9807091
05.04.2018 22:02:47 47.5108784 18.9643963
06.04.2018 04:01:23 47.5073796 18.9789353
06.04.2018 14:00:47 47.5092822 18.9758519 
06.04.2018 19:00:48 47.5091502 18.9684409
06.04.2018 22:01:30 47.5006254 18.9752438
07.04.2018 04:02:24 47.5077945 18.9756356
07.04.2018 14:03:02 47.5075928 18.9755497
07.04.2018 19:01:01 47.5075232 18.9760773
07.04.2018 22:01:26 47.5080367 18.9762150
08.04.2018 04:01:51 47.5033252 18.9828740
08.04.2018 14:01:31 47.5032527 18.9829014
08.04.2018 19:01:23 47.5054995 18.9816781
08.04.2018 22:01:23 47.5018168 18.9744446
09.04.2018 04:00:59 47.4998496 18.9822133
09.04.2018 14:00:53 47.4998374 18.9822133 
09.04.2018 19:00:59 47.4998995 18.9812485
09.04.2018 22:01:30 47.5001945 18.9823581
10.04.2018 04:01:49 47.5000379 18.9821294
10.04.2018 14:00:49 47.5017955 18.9764214
10.04.2018 19:01:47 47.4998725 18.9820254
10.04.2018 22:00:54 47.4996958 18.9813783 
11.04.2018 04:00:54 47.4998514 18.9813540
11.04.2018 14:01:00 47.4997601 18.9814748
11.04.2018 19:01:00 47.4997840 18.9814198
11.04.2018 22:00:59 47.4997940 18.9814461
12.04.2018 04:01:17 47.4997442 18.9815591
12.04.2018 14:00:54 47.4997332 18.9814787 
12.04.2018 19:00:56 47.4998075 18.9814163
12.04.2018 22:00:49 47.4997864 18.9814254
13.04.2018 04:00:50 47.4996517 18.9816402
13.04.2018 14:00:43 47.4996933 18.9814748
13.04.2018 19:01:17 47.4999427 18.9812932
13.04.2018 22:01:18 47.4997693 18.9814050 
14.04.2018 04:01:29 47.4997225 18.9814026
14.04.2018 14:01:49 47.4997739 18.9821804
14.04.2018 19:00:59 47.4999413 18.9820361
14.04.2018 22:00:59 47.4998588 18.9820647
15.04.2018 04:01:52 47.4998772 18.9821616
15.04.2018 14:00:59 47.4997488 18.9821306 
15.04.2018 19:01:00 47.4998269 18.9821090
15.04.2018 22:00:59 47.4998939 18.9820482
16.04.2018 04:01:56 47.4997994 18.9822525
16.04.2018 14:01:24 47.4998284 18.9820509
16.04.2018 19:01:02 47.4998433 18.9820701
16.04.2018 22:01:01 47.4998711 18.9820227 
17.04.2018 04:01:48 47.4998290 18.9820501
17.04.2018 14:01:38 47.4998120 18.9821086
17.04.2018 19:00:54 47.4998455 18.9820901
17.04.2018 22:00:59 47.4998592 18.9819808
18.04.2018 04:00:54 47.4997996 18.9821505
18.04.2018 14:01:02 47.4998698 18.9821314 
18.04.2018 19:01:52 47.4999642 18.9819270
18.04.2018 22:00:49 47.4997256 18.9814116
19.04.2018 04:00:50 47.4997711 18.9814026
19.04.2018 14:00:54 47.4998231 18.9821745
19.04.2018 19:01:24 47.4998776 18.9819063
19.04.2018 22:00:50 47.4997422 18.9819788 
20.04.2018 04:01:03 47.4997385 18.9816328
20.04.2018 14:01:48 47.4998300 18.9820392
